company_name,URL
Centessa Pharmaceuticals,https://www.centessa.com
OpenSea,https://opensea.io/
AltruBio,https://www.altrubio.com/
Asher Bio,https://www.asherbio.com/
Nimble Robotics,https://nimble.ai
Stavvy,https://www.stavvy.com
Firstbase,https://www.firstbasehq.com/
Fold,https://foldapp.com
Fortis Therapeutics,http://www.coipharma.com/portfolio/.
Splitwise,http://splitwise.com
Theorycraft Games,https://www.theorycraftgames.com/
Avanti Financial Group,https://avantibank.com/
Bay1,https://bay1.com/
Visus Therapeutics,https://www.visustx.com/
Ergatta,https://www.ergatta.com/
Flatfile,https://flatfile.io/
Class Technologies,https://www.class.com/
Tribal Credit,https://tribal.credit/
Outpace Bio,https://www.outpacebio.com/
Cape Privacy,https://capeprivacy.com/
Teon Therapeutics,https://www.teontherapeutics.co
AppliedVR,https://appliedvr.io
Blue Note Therapeutics,https://bluenotetherapeutics.com/
Gather,https://gather.town/
Eco,https://eco.com/
AgentSync,https://agentsync.io
Wrapbook,http://www.wrapbook.com
Orum.io,https://www.orum.io/
Titan,https://www.titanvest.com
Prosimo.io,https://www.prosimo.io/
Rivery.io,https://rivery.io/
Kalshi,https://www.kalshi.com/
VieCure,https://viecure.com/
ZeroAvia,http://zeroavia.com
Tomorrow Health,https://home.tomorrowhealth.com/
Chord,https://chord.co/
Ketch,https://ketch.com/
DeepSee.ai,https://deepsee.ai/
Cube,https://www.cubesoftware.com
Ophelia,https://ophelia.com/
Reforge,http://reforge.com
Real,https://www.join-real.com/
DoControl,https://www.docontrol.io/
Reprise,https://www.getreprise.com/
Bartesian,http://www.bartesian.com
Abound,https://helloabound.com
Atlast Food,http://www.atlastfood.co/
Section4,https://section4.com/
Windfall,http://www.windfalldata.com/
Universal Hydrogen,https://www.hydrogen.aero
Promise,https://home.promise-pay.com/
Repl.it,http://repl.it/
Candex,https://www.candex.com
Monarch Tractor,https://monarchtractor.com/
Tortuga AgTech,http://www.tortugaagtech.com
Multiply Labs,https://www.multiplylabs.com/
Higharc,http://www.higharc.com
Bionaut Labs,http://www.bionautlabs.com
DexCare,https://www.dexcarehealth.com/
Nuvocargo,https://www.nuvocargo.com/
Comet.ml,http://www.comet.ml
EquityBee,https://equitybee.com/
Fei Protocol,https://fei.money/
Fridge No More,https://www.fridgenomore.com/
Vector,https://vectorremote.com/
HALO Diagnostics,https://www.halodx.com/
Take Command Health,http://www.takecommandhealth.com
Secureframe,https://secureframe.com
