COMPANY_NAME,SERVICE,TRIGGER,ERR_TYPE,ERR_MESSAGE
Advance Auto Parts,ABOUT_US_SERVICE,scrape_about_us_urls,about_us_urls_not_found,About Us URLs not found
Advance Auto Parts,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
Advance Auto Parts,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Advance Auto Parts,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
ALDO,ABOUT_US_SERVICE,scrape_about_us_urls,about_us_urls_not_found,About Us URLs not found
ALDO,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
ALDO,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
ALDO,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Alice + Olivia,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
Alice + Olivia,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Alice + Olivia,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Ally,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Ally,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
American Eagle Outfitters Inc.,ABOUT_US_SERVICE,scrape_about_us_urls,about_us_urls_not_found,About Us URLs not found
American Eagle Outfitters Inc.,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
American Eagle Outfitters Inc.,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
American Eagle Outfitters Inc.,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Arc'teryx,URL_SCRAPING_SERVICE,"",FormValidURL,"Exception for: form_valid_url, company: Arc'teryx, url: , bad URI(is not URI?):  "
Arc'teryx,URL_SCRAPING_SERVICE,scrape_destination_url,OpenURI,"Exception for: open_uri, company: Arc'teryx, url: , private method `open' called for #<URI::Generic > "
Arc'teryx,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Arc'teryx,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Bass Pro Shops,URL_SCRAPING_SERVICE,scrape_company_url,OpenURI,"Exception for: open_uri, company: Bass Pro Shops, url: , 403 Forbidden "
Bass Pro Shops,URL_SCRAPING_SERVICE,scrape_about_us_urls,OpenURI,"Exception for: open_uri, company: Bass Pro Shops, url: , 403 Forbidden "
Bass Pro Shops,URL_SCRAPING_SERVICE,scrape_about_content,OpenURI,"Exception for: open_uri, company: Bass Pro Shops, url: , 403 Forbidden "
Bass Pro Shops,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Bass Pro Shops,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Beachbody,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Beachbody,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Best Buy,ABOUT_US_SERVICE,scrape_about_us_urls,about_us_urls_not_found,About Us URLs not found
Best Buy,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
Best Buy,GOOGLE_SEARCH_API_SERVICE,news_content,google_search_API_execute,HTTP status code 520
Best Buy,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Best Buy,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
BJ's Wholesale Club,URL_SCRAPING_SERVICE,"",FormValidURL,"Exception for: form_valid_url, company: BJ's Wholesale Club, url: , bad URI(is not URI?):  https://newsroom.bjs.com?source=footer "
BJ's Wholesale Club,URL_SCRAPING_SERVICE,scrape_press_content,OpenURI,"Exception for: open_uri, company: BJ's Wholesale Club, url: , private method `open' called for #<URI::Generic > "
BJ's Wholesale Club,GOOGLE_SEARCH_API_SERVICE,news_content,google_search_API_execute,HTTP status code 520
BJ's Wholesale Club,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
BJ's Wholesale Club,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Bob's Discount Furniture,URL_SCRAPING_SERVICE,"",FormValidURL,"Exception for: form_valid_url, company: Bob's Discount Furniture, url: , bad URI(is not URI?): /golf-outing
 "
Bob's Discount Furniture,URL_SCRAPING_SERVICE,scrape_destination_url,OpenURI,"Exception for: open_uri, company: Bob's Discount Furniture, url: , private method `open' called for #<URI::Generic > "
Bob's Discount Furniture,GOOGLE_SEARCH_API_SERVICE,news_content,google_search_API_execute,HTTP status code 520
Bob's Discount Furniture,GOOGLE_SEARCH_API_SERVICE,news_content,google_search_API_execute,HTTP status code 520
Bob's Discount Furniture,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Bob's Discount Furniture,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Brinker International,HOMEPAGE_SERVICE,HomepageService,homepage_content_not_found,Homepage content not found
Brinker International,ABOUT_US_SERVICE,scrape_about_us_urls,about_us_urls_not_found,About Us URLs not found
Brinker International,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
Brinker International,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Brinker International,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Burlington,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
Burlington,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Burlington,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Canon U.S.A,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
Canon U.S.A,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Canon U.S.A,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Carter's,HOMEPAGE_SERVICE,HomepageService,homepage_content_not_found,Homepage content not found
Carter's,ABOUT_US_SERVICE,scrape_about_us_urls,about_us_urls_not_found,About Us URLs not found
Carter's,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
Carter's,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Carter's,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Chewy,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
Chewy,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Chewy,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Chuck E. Cheese,ABOUT_US_SERVICE,scrape_about_us_urls,about_us_urls_not_found,About Us URLs not found
Chuck E. Cheese,PRESS_RELEASES_SERVICE,scrape_press_urls,press_urls_not_found,Press URLs not found
Chuck E. Cheese,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Chuck E. Cheese,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
Church's Chicken,GOOGLE_SEARCH_API_SERVICE,news_content,search_results_not_found,Not_found search_results: news_content
Church's Chicken,NEWS_CONTENT_SERVICE,collect_news_content,news_content_not_found,News content not found
